Mã Laptop,Tên Laptop,Tên Hãng (Laptop),Ngày Nhập,Số Tồn,Số Lượng,Giá Tiền (Laptop),CPU,Tên Hãng (CPU),GPU,Tên Hãng (GPU),Ổ Cứng,Tên Hãng (Ổ cứng),RAM,Tên Hãng (RAM)
1501030411001,Acer Nitro 5 AN515-45,Acer,01/12/2025,11,5,"28,000,000 VND",AMD Ryzen 7 5800H,AMD,NVIDIA Geforce RTX 3060,NVIDIA,Crucial P5 1TB,Crucial,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
1501030411002,Acer Nitro 5 AN515-45-R92M,Acer,20/03/2025,14,7,"29,000,000 VND",AMD Ryzen 5 5600H,AMD,NVIDIA Geforce RTX 3050,NVIDIA,Crucial P5 512GB,Crucial,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
1502030911003,Acer Predator Helios 300 PH315-54,Acer,20/04/2025,9,5,"34,000,000 VND",Intel Core i7-10750H,Intel,NVIDIA Geforce RTX 2060,NVIDIA,Western Digital Black SN750 1TB,Western Digital,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
1502030911004,Acer Predator Triton 500 PT515-52,Acer,22/02/2025,6,3,"42,000,000 VND",Intel Core i7-10750H,Intel,NVIDIA Geforce RTX 2070,NVIDIA,Western Digital Black SN750 1TB,Western Digital,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
1502030911005,Acer Predator Triton 300 SE,Acer,15/03/2025,7,4,"40,000,000 VND",Intel Core i7-11375H,Intel,NVIDIA Geforce RTX 3060,NVIDIA,Western Digital Black SN750 1TB,Western Digital,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
1502030911006,Acer Predator Helios 300 PH315-55,Acer,02/05/2025,9,5,"34,000,000 VND",Intel Core i7-11800H,Intel,NVIDIA Geforce RTX 3060,NVIDIA,Western Digital Black SN750 1TB,Western Digital,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
1502030911007,Acer Predator Helios 300 PH317-55,Acer,28/01/2025,8,4,"36,000,000 VND",Intel Core i7-11800H,Intel,NVIDIA Geforce RTX 3070,NVIDIA,Western Digital Black SN750 1TB,Western Digital,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
1502030911008,Acer Predator Helios 300,Acer,02/10/2025,10,7,"35,000,000 VND",Intel Core i7-12700H,Intel,NVIDIA Geforce RTX 3060,NVIDIA,Western Digital Black SN850 1TB,Western Digital,Corsair Vengeance 16GB DDR4 3200MHz,Corsair
1502030411009,Acer Nitro 5 AN515-58,Acer,15/01/2025,12,6,"32,000,000 VND",Intel Core i7-12700H,Intel,NVIDIA Geforce RTX 3070,NVIDIA,Crucial P5 Plus 1TB,Crucial,Corsair Vengeance 16GB DDR5 4800MHz,Corsair
1502030411010,Acer Nitro 5 AN515-58-50RS,Acer,25/01/2025,13,6,"31,000,000 VND",Intel Core i5-12500H,Intel,NVIDIA Geforce RTX 3050,NVIDIA,Crucial P5 Plus 512GB,Crucial,Corsair Vengeance 16GB DDR5 4800MHz,Corsair
1502030411011,Acer Nitro 5 AN515-58-50RS,Acer,22/02/2025,13,6,"31,000,000 VND",Intel Core i5-12500H,Intel,NVIDIA Geforce RTX 3050,NVIDIA,Crucial P5 Plus 512GB,Crucial,Corsair Vengeance 16GB DDR5 4800MHz,Corsair
1502030911012,Acer Predator Triton 500 SE,Acer,25/02/2025,5,3,"45,000,000 VND",Intel Core i9-12900H,Intel,NVIDIA Geforce RTX 3080 Ti,NVIDIA,Western Digital Black SN850 2TB,Western Digital,Corsair Vengeance 32GB DDR5 5200MHz,Corsair
1502020405013,Acer Swift 3 SF314-59,Acer,15/03/2025,17,8,"20,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Crucial P2 1TB,Crucial,Kingston 16GB DDR4 3200MHz,Kingston
1501030405014,Acer Swift X,Acer,18/03/2025,18,8,"21,000,000 VND",AMD Ryzen 7 5800U,AMD,NVIDIA Geforce RTX 3050 Ti,NVIDIA,Crucial P2 1TB,Crucial,Kingston 16GB DDR4 3200MHz,Kingston
1502020505015,Acer Spin 5,Acer,20/02/2025,8,4,"22,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Kingston A2000 512GB,Kingston,Kingston 16GB DDR4 3200MHz,Kingston
1502020505016,Acer Swift 5 SF514-55T,Acer,04/12/2025,10,5,"24,000,000 VND",Intel Core i7-1165G7,Intel,Intel Iris Xe,Intel,Kingston A2000 1TB,Kingston,Kingston 16GB DDR4 4266MHz,Kingston
1502020505017,Acer Swift 5,Acer,28/03/2025,15,6,"25,000,000 VND",Intel Core i7-1260P,Intel,Intel Iris Xe,Intel,Kingston A2000 1TB,Kingston,Kingston 16GB DDR4 4266MHz,Kingston
1502020505018,Acer Swift 5 SF514-55T-50QX,Acer,18/03/2025,12,6,"23,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Kingston A2000 512GB,Kingston,Kingston 16GB DDR4 4266MHz,Kingston
1502020505019,Acer Chromebook 315,Acer,02/05/2025,28,18,"10,000,000 VND",Intel Celeron N4000,Intel,Integrated Intel UHD,Intel,Kingston A2000 128GB,Kingston,Kingston 4GB DDR4 2400MHz,Kingston
1502020505020,Acer Chromebook Spin 311,Acer,15/02/2025,30,20,"9,000,000 VND",Intel Celeron N4020,Intel,Integrated Intel UHD,Intel,Kingston A2000 64GB,Kingston,Kingston 4GB DDR4 2400MHz,Kingston
1502020505021,Acer Chromebook 514,Acer,01/10/2025,25,15,"11,000,000 VND",Intel Celeron N4500,Intel,Integrated Intel UHD,Intel,Kingston A2000 128GB,Kingston,Kingston 4GB DDR4 3200MHz,Kingston
1502020905022,Acer Aspire 5,Acer,01/12/2025,25,15,"15,000,000 VND",Intel Core i5-1135G7,Intel,Intel Iris Xe,Intel,Western Digital Blue 256GB,Western Digital,Kingston 8GB DDR4 2666MHz,Kingston
1502030905023,Acer Aspire 7 A715-75G,Acer,04/10/2025,15,7,"21,000,000 VND",Intel Core i5-9300H,Intel,NVIDIA Geforce GTX 1650,NVIDIA,Western Digital Blue 512GB,Western Digital,Kingston 8GB DDR4 2666MHz,Kingston
1501010405024,Acer Swift 3 SF314-43,Acer,18/04/2025,19,9,"17,000,000 VND",AMD Ryzen 5 4500U,AMD,Integrated AMD Radeon,AMD,Crucial P2 512GB,Crucial,Kingston 8GB DDR4 3200MHz,Kingston
